emp_id,full_name,national_id,corp_card,work_email
7087,Choi,180502-4888833,5488-1128-3141-7751,lee.jang1@corp.example.com
9784,Lee,830205-2036398,4398-0978-6408-7778,park.cho63@example.co.kr
2181,Heidi,221223-4329132,5339-1452-6837-0221,bob.oh11@example.com
7456,Bob,580216-4880501,5881-5096-7990-8858,eve.cho61@example.co.kr
2944,Judy,911010-3204991,4935-0151-5929-9528,heidi.cho76@example.co.kr
1687,Yoon,430113-3955307,5142-6024-4463-0194,bob.kim36@corp.example.com
4636,Frank,200202-4773403,5977-7554-9240-8572,oh.park75@corp.example.com
3677,Frank,540619-3645516,4931-2366-0046-7837,han.jang86@example.com
8381,Kim,270611-3449999,4214-1211-9121-2297,judy.yoon50@test.org
6769,Oh,970225-4964058,5859-5891-7186-3949,judy.oh81@corp.example.com
8548,Frank,001221-4013366,5571-7189-6118-3543,eve.han29@mail.example.net
4480,Bob,360603-1309597,4624-1951-8524-9961,bob.lee5@example.co.kr
3532,Han,151116-2732126,4731-5223-5084-0576,frank.yoon73@example.com
6103,Choi,420108-3323323,5413-8497-3978-4203,heidi.jang58@mail.example.net
6455,Park,441115-4588179,5168-6817-0788-5483,eve.park29@example.co.kr
1609,Lee,740604-2929237,4959-4170-9816-1994,kim.lee17@corp.example.com
6860,Yoon,330225-1959617,4628-8271-8442-1543,kim.yoon94@example.co.kr
9117,Grace,760513-1118388,4121-8704-0567-5351,judy.han64@corp.example.com
2980,Park,710401-3078661,5329-3151-0866-1033,grace.choi87@test.org
4423,Seo,160401-3432915,4031-3545-3115-9372,park.han18@corp.example.com
8928,Kim,760428-1417807,4691-8892-4020-3531,alice.lee55@example.co.kr
6097,Dave,900419-1047122,5589-1389-7668-7450,carol.seo2@example.co.kr
9661,Oh,820528-2097581,4414-4100-3455-1237,judy.cho57@test.org
7350,Frank,840221-4714286,5744-2245-3250-2433,judy.choi83@example.com
2265,Dave,220122-1651191,4396-9789-2045-6499,judy.cho10@example.co.kr
3048,Heidi,160307-2939667,4768-7456-7523-3419,bob.cho58@example.co.kr
2103,Han,320826-4903274,4438-3933-1875-6007,ivan.yoon37@example.co.kr
5986,Seo,911012-4292298,5269-1862-3795-8428,judy.kim36@example.co.kr
8172,Kim,811107-3687163,5957-7615-5216-8477,bob.han36@mail.example.net
7330,Yoon,360704-4049480,5987-2421-1325-5251,frank.han89@test.org
8071,Eve,620818-3241058,5321-2327-7181-6978,dave.seo44@test.org
8383,Judy,110915-3870403,4695-4308-5907-8173,bob.han40@example.com
5196,Dave,240428-2698031,4833-9396-2037-2929,kim.jang89@test.org
1029,Alice,240825-1773886,5514-9977-9718-9078,seo.han83@corp.example.com
4919,Eve,120115-4353495,5559-8984-2265-6190,alice.yoon35@corp.example.com
5182,Bob,220810-1930831,5482-9932-4092-3161,kim.seo30@mail.example.net
6914,Carol,490614-2208610,4542-3859-9766-0744,oh.yoon69@mail.example.net
4370,Seo,631024-1559452,5046-1498-4910-7040,judy.oh35@example.com
7693,Park,650920-3750742,5795-2431-9783-9314,ivan.oh12@corp.example.com
6062,Seo,221012-3713181,4292-5951-7815-2904,seo.jang77@mail.example.net
6312,Bob,561115-4401666,5536-4111-3882-8014,han.choi43@mail.example.net
1649,Eve,030615-3407320,5121-0588-7127-6922,kim.choi83@test.org
7774,Bob,850107-1021661,5553-4748-4058-9456,kim.choi6@example.com
6591,Kim,330308-3866543,4094-9560-4027-9335,grace.yoon95@example.co.kr
7658,Dave,230319-4096365,4055-5434-5373-4233,frank.lee64@mail.example.net
5121,Judy,700112-1444257,4595-7734-1207-2963,alice.seo13@example.co.kr
8545,Park,351025-1716646,5990-9374-8675-9503,alice.park89@test.org
9333,Oh,671001-4058115,4402-5585-8098-2356,choi.park51@example.co.kr
8117,Yoon,500709-1803119,5196-8092-3297-2114,choi.choi21@example.com
2531,Kim,880222-4924573,4705-5058-9446-8351,dave.lee85@example.com
3674,Heidi,560311-2342483,4963-3529-8264-9524,grace.cho92@mail.example.net
2282,Lee,290705-4023673,4714-5819-9054-6151,yoon.seo19@test.org
3150,Kim,050909-3382046,4893-8638-5492-7762,carol.park58@example.co.kr
8911,Alice,680916-1265199,5282-8665-4025-3445,seo.lee45@corp.example.com
7080,Judy,071015-1713957,4365-8241-9231-9113,seo.seo96@example.com
8516,Yoon,640704-4750422,5978-4488-6926-3370,lee.kim71@corp.example.com
2944,Bob,480303-1868779,4810-7318-1656-6203,seo.lee69@mail.example.net
8069,Ivan,971102-2281604,5872-2459-8738-4588,lee.seo61@corp.example.com
5728,Han,580728-3799347,4974-1758-3060-7108,grace.lee36@example.co.kr
7264,Kim,781111-1133191,4859-0839-7729-3026,heidi.park88@test.org
3993,Ivan,611214-2843606,5567-4995-1039-6828,carol.oh40@example.com
8825,Eve,861125-3106551,5519-0507-2489-9313,seo.jang83@test.org
9692,Yoon,881121-2579168,5619-8528-7291-7246,yoon.oh93@test.org
2781,Lee,730428-2783902,5310-8377-7722-7736,park.seo85@corp.example.com
4028,Lee,011223-1562448,5951-8617-6004-6840,frank.kim88@test.org
3123,Han,280121-3090188,4467-8667-8893-9128,eve.jang91@example.co.kr
9833,Han,840312-1209421,4246-3819-2097-1538,ivan.lee86@mail.example.net
2814,Carol,490103-2591140,5327-0221-1935-9140,choi.lee35@example.com
5105,Park,860823-2884732,4139-3774-4310-1181,carol.park9@test.org
4941,Lee,720715-1627138,5375-6762-2382-2621,alice.yoon42@mail.example.net
