uid,nickname,rrn,email
59669,Park,180112-4397806,seo.oh93@example.com
36196,Alice,210614-4480880,frank.seo71@test.org
64173,Dave,140521-2972254,frank.cho9@test.org
49193,Judy,030107-2670041,eve.lee55@corp.example.com
71657,Seo,640213-1193234,kim.lee82@corp.example.com
61074,Grace,641208-4632711,ivan.choi44@corp.example.com
97849,Kim,760811-4791151,yoon.yoon79@mail.example.net
67250,Carol,990503-2958376,dave.yoon47@example.co.kr
21313,Yoon,540211-1736670,alice.cho6@example.co.kr
94500,Judy,400410-4714955,grace.oh5@example.co.kr
32642,Heidi,781212-3958318,han.jang73@corp.example.com
63861,Frank,291028-4420571,choi.park71@mail.example.net
44788,Bob,690612-4064391,kim.han90@corp.example.com
69556,Oh,821213-3280058,oh.choi33@mail.example.net
25311,Han,540923-3141062,oh.seo22@mail.example.net
50372,Alice,390224-2212486,lee.yoon53@test.org
11314,Park,590401-2921008,ivan.seo18@mail.example.net
39361,Kim,350912-3176284,seo.jang80@example.co.kr
32891,Park,380115-2113471,carol.park4@mail.example.net
50032,Alice,961203-1375349,eve.jang92@mail.example.net
92292,Kim,941207-1633971,carol.han70@mail.example.net
57726,Oh,860310-2860786,eve.seo95@mail.example.net
39403,Carol,941213-1750391,oh.jang67@mail.example.net
55326,Eve,060802-1692468,alice.park79@example.co.kr
58380,Han,890227-3992788,park.kim17@corp.example.com
57684,Choi,180604-2697917,ivan.cho36@example.com
58707,Dave,241008-4826517,grace.yoon8@corp.example.com
97468,Oh,410805-1907102,dave.choi37@mail.example.net
58257,Heidi,110110-2643187,carol.park43@mail.example.net
37279,Choi,890208-1599663,yoon.yoon11@corp.example.com
50976,Dave,901019-2929225,choi.jang36@corp.example.com
55427,Grace,371218-4986908,han.cho38@mail.example.net
24202,Eve,100411-1850568,kim.kim94@mail.example.net
16410,Kim,990514-1493753,carol.cho63@test.org
40652,Oh,920817-4280822,eve.seo21@example.co.kr
41631,Carol,001205-4599087,bob.lee84@test.org
25538,Dave,800411-3863494,oh.park61@example.com
67564,Carol,610317-1925442,bob.han57@corp.example.com
99119,Oh,530725-2349269,han.seo95@mail.example.net
70554,Grace,680116-3315898,oh.lee9@example.com
35962,Heidi,611018-1983019,kim.park93@corp.example.com
71005,Heidi,921103-1061838,grace.seo7@test.org
56367,Heidi,090727-4062183,bob.choi66@example.com
40993,Yoon,370207-2279055,eve.choi80@example.co.kr
78382,Bob,150617-1452942,grace.choi20@mail.example.net
11736,Eve,371106-4592463,carol.seo95@example.com
97795,Grace,451228-2530990,alice.seo84@mail.example.net
52586,Grace,590728-3323854,ivan.choi39@example.com
93443,Alice,460116-4793680,ivan.oh48@example.com
67905,Oh,410305-2036590,seo.lee8@mail.example.net
54084,Park,970220-3671778,alice.cho27@example.co.kr
52775,Han,760804-1216263,yoon.lee14@test.org
85657,Dave,010817-1260423,grace.park63@mail.example.net
47135,Eve,420501-4821446,judy.choi56@corp.example.com
31232,Carol,351107-1041794,lee.han18@example.co.kr
69977,Frank,800623-1679164,lee.kim25@test.org
36902,Grace,630406-3362177,dave.oh60@test.org
37602,Dave,550718-4201545,heidi.kim45@mail.example.net
76433,Kim,160321-2152348,oh.choi90@example.com
12488,Carol,661008-3680024,yoon.kim79@test.org
37583,Frank,331213-1739289,park.kim90@test.org
54284,Yoon,450127-1787961,lee.yoon34@example.co.kr
26871,Eve,710728-4863911,carol.park89@test.org
46988,Kim,070704-3420358,oh.seo22@corp.example.com
89000,Judy,721022-3127733,ivan.kim83@test.org
17922,Heidi,440322-2286901,heidi.choi93@corp.example.com
35383,Yoon,550914-3046320,han.lee32@corp.example.com
93009,Han,370412-4934411,alice.cho97@corp.example.com
90993,Dave,791204-2963557,seo.han92@example.co.kr
29558,Ivan,190122-1001560,dave.jang68@corp.example.com
57193,Seo,520612-1246200,bob.oh81@example.com
33706,Lee,060307-2284405,heidi.kim50@example.com
90932,Carol,390115-3296572,carol.cho56@test.org
36478,Heidi,020414-2058542,frank.yoon40@corp.example.com
62102,Alice,920409-2477323,choi.seo39@mail.example.net
27871,Park,310715-1570326,ivan.yoon64@mail.example.net
49196,Eve,081208-4632508,eve.jang74@mail.example.net
33262,Eve,480822-1689745,alice.cho47@example.com
80650,Oh,400415-4501094,lee.choi91@corp.example.com
34350,Yoon,551117-1739372,ivan.oh33@example.com
53149,Carol,110123-4237530,oh.kim33@corp.example.com
42363,Ivan,210511-4415869,dave.yoon42@mail.example.net
53850,Carol,030115-3768009,judy.cho46@example.com
71294,Eve,620218-4067589,grace.han36@test.org
60510,Bob,510708-4161370,judy.kim66@test.org
43543,Choi,551126-2769961,ivan.lee61@mail.example.net
28555,Kim,290805-3705267,kim.kim75@mail.example.net
87998,Heidi,240522-3393542,ivan.lee83@mail.example.net
50585,Kim,601118-2247886,carol.kim50@example.co.kr
91505,Dave,071112-1144982,carol.kim32@mail.example.net
